auto_id;id_csv;id;devEui;temperature;humidity;pressure;pm1_0;pm2_5;pm10;so2;o3;co;no2;noise_level;createdDateTime;pm2_5_aqi;pm10_aqi;so2_aqi;o3_aqi;co_aqi;no2_aqi;aqi;primary_pollutant;customer_tz_createdDateTime
707273;0;1271747;44179354c7782e90;37.39;39;981;5;4;7;0;0.01;0;0;59;2023-08-10 23:28:58;17;6;0;0;0;0;17;pm2_5;2023-08-10 16:28:58
707274;0;1271741;4417935b01081c59;36.3;41;979;2;3;3;0;0.01;0;0;56;2023-08-10 23:25:50;13;3;0;0;0;0;13;pm2_5;2023-08-10 16:25:50
707275;0;1271744;4417935b00b83a53;40.05;36;989;7;7;10;6.1;0.01;0;0;69;2023-08-10 23:27:21;29;9;500;0;0;0;500;so2;2023-08-10 16:27:21
707276;0;1271745;4417935af40cae86;37.34;36;981;4;6;6;0;0.06;0;0;63;2023-08-10 23:27:25;25;6;0;0;0;0;25;pm2_5;2023-08-10 16:27:25
707277;0;1271746;4417935af5e4505d;37.75;38;976;8;8;11;0;0.01;0;0;67;2023-08-10 23:27:26;33;10;0;0;0;0;33;pm2_5;2023-08-10 16:27:26
707278;0;1271748;4417935af3d82f50;37.11;39;980;11;8;6;0;0.01;0;0;63;2023-08-10 23:29:16;33;6;0;0;0;0;33;pm2_5;2023-08-10 16:29:16
707279;0;1271764;4417935af3905f62;36.41;40;978;4;6;6;0.1;0.02;0;0;64;2023-08-10 23:37:29;25;6;112;0;0;0;112;so2;2023-08-10 16:37:29
707280;0;1271768;44179354c7c83489;35.39;43;971;4;5;6;0;0.01;0;0;55;2023-08-10 23:39:17;21;6;0;0;0;0;21;pm2_5;2023-08-10 16:39:17
707281;0;1271762;44179354c798205a;38.5;39;983;7;8;10;0;0.01;0;0;72;2023-08-10 23:37:04;33;9;0;0;0;0;33;pm2_5;2023-08-10 16:37:04
707282;0;1271760;4417935aff00388d;36.9;39;978;7;5;10;0;0.01;0;0;55;2023-08-10 23:35:04;21;9;0;0;0;0;21;pm2_5;2023-08-10 16:35:04
707283;0;1271767;44179354c7782e90;36.46;40;976;3;3;4;0;0.01;0;0;57;2023-08-10 23:38:40;13;4;0;0;0;0;13;pm2_5;2023-08-10 16:38:40
707284;0;1271761;4417935b01081c59;36.15;41;978;3;4;5;0;0.01;0;0;56;2023-08-10 23:35:56;17;5;0;0;0;0;17;pm2_5;2023-08-10 16:35:56
707285;0;1271766;4417935b00b83a53;38.91;37;983;6;5;9;6.7;0.01;0;0;66;2023-08-10 23:37:51;21;8;500;0;0;0;500;so2;2023-08-10 16:37:51
707286;0;1271763;4417935af40cae86;37.14;36;981;6;6;9;0;0.04;0;0;60;2023-08-10 23:37:11;25;8;0;0;0;0;25;pm2_5;2023-08-10 16:37:11
707287;0;1271765;4417935af5e4505d;37.33;39;976;6;6;8;0;0.01;0;0;64;2023-08-10 23:37:32;25;7;0;0;0;0;25;pm2_5;2023-08-10 16:37:32
707288;0;1271769;4417935af3d82f50;36.83;40;980;6;6;9;0;0.01;0;0;68;2023-08-10 23:39:33;25;8;0;0;0;0;25;pm2_5;2023-08-10 16:39:33
707289;0;1271783;4417935af3905f62;36.29;42;976;10;8;13;0.1;0.02;0;0;65;2023-08-10 23:47:36;33;12;112;0;0;0;112;so2;2023-08-10 16:47:36
707290;0;1271788;44179354c7c83489;35.26;45;968;5;5;7;0;0.01;0;0;61;2023-08-10 23:49:16;21;6;0;0;0;0;21;pm2_5;2023-08-10 16:49:16
707291;0;1271782;44179354c798205a;35.66;46;972;12;9;16;0;0.01;0;0;77;2023-08-10 23:47:31;38;15;0;0;0;0;38;pm2_5;2023-08-10 16:47:31
707292;0;1271780;4417935aff00388d;36.69;39;977;23;18;31;0;0.01;0;0;55;2023-08-10 23:46:05;63;29;0;0;0;0;63;pm2_5;2023-08-10 16:46:05
707293;0;1271787;44179354c7782e90;35.84;41;974;1;2;2;0;0.01;0;0;63;2023-08-10 23:48:44;8;2;0;0;0;0;8;pm2_5;2023-08-10 16:48:44
707294;0;1271781;4417935b01081c59;36.08;41;979;7;7;10;0;0.01;0;0;56;2023-08-10 23:46:10;29;9;0;0;0;0;29;pm2_5;2023-08-10 16:46:10
707295;0;1271786;4417935b00b83a53;38.29;38;979;3;4;4;6.9;0.01;0;0;68;2023-08-10 23:48:10;17;4;500;0;0;0;500;so2;2023-08-10 16:48:10
707296;0;1271785;4417935af40cae86;37.16;38;982;19;14;25;0;0.09;0;0;64;2023-08-10 23:47:45;55;23;0;0;0;0;55;pm2_5;2023-08-10 16:47:45
707297;0;1271784;4417935af5e4505d;36.51;40;976;17;16;23;0;0.01;0;0;64;2023-08-10 23:47:37;59;21;0;0;0;0;59;pm2_5;2023-08-10 16:47:37
707298;0;1271779;4417935af3d82f50;36.76;40;980;12;11;16;0;0.04;0;0;60;2023-08-10 23:45:01;46;15;0;0;0;0;46;pm2_5;2023-08-10 16:45:01
707299;0;1271802;4417935af3905f62;34.26;48;966;6;6;8;0;0.06;0;0;64;2023-08-10 23:57:25;25;7;0;0;0;0;25;pm2_5;2023-08-10 16:57:25
707300;0;1271807;44179354c7c83489;32.85;50;956;0;1;1;0;0.01;0;0;60;2023-08-10 23:59:18;4;1;0;0;0;0;4;pm2_5;2023-08-10 16:59:18
707301;0;1271803;44179354c798205a;32.57;50;961;4;4;6;0;0.01;0;0;68;2023-08-10 23:57:21;17;6;0;0;0;0;17;pm2_5;2023-08-10 16:57:21
707302;0;1271801;4417935aff00388d;33.71;48;957;14;8;19;0;0.02;0;0;82;2023-08-10 23:56:37;33;18;0;0;0;0;33;pm2_5;2023-08-10 16:56:37
707303;0;1271808;44179354c7782e90;35.72;42;973;3;4;4;0;0.01;0;0;58;2023-08-10 23:59:25;17;4;0;0;0;0;17;pm2_5;2023-08-10 16:59:25
707304;0;1271800;4417935b01081c59;34.14;48;968;1;2;2;0;0.01;0;0;56;2023-08-10 23:56:10;8;2;0;0;0;0;8;pm2_5;2023-08-10 16:56:10
707305;0;1271805;4417935b00b83a53;36.97;43;971;16;10;22;8.5;0.01;0;0;73;2023-08-10 23:57:52;42;20;500;0;0;0;500;so2;2023-08-10 16:57:52
707306;0;1271806;4417935af40cae86;33.41;45;982;10;9;14;0;0.04;0;0;63;2023-08-10 23:58:37;38;13;0;0;0;0;38;pm2_5;2023-08-10 16:58:37
707307;0;1271804;4417935af5e4505d;36.28;43;977;10;9;13;0;0.01;0;0;65;2023-08-10 23:57:23;38;12;0;0;0;0;38;pm2_5;2023-08-10 16:57:23
707308;0;1271799;4417935af3d82f50;35.94;43;981;10;9;14;0;0.03;0;0;63;2023-08-10 23:55:13;38;13;0;0;0;0;38;pm2_5;2023-08-10 16:55:13
707309;0;1271822;4417935af3905f62;33.21;47;963;5;4;7;0;0.04;0;0;65;2023-08-11 0:06:59;17;6;0;0;0;0;17;pm2_5;2023-08-10 17:06:59
707310;0;1271827;44179354c7c83489;31.85;49;952;2;2;3;0;0.01;0;0;61;2023-08-11 0:09:09;8;3;0;0;0;0;8;pm2_5;2023-08-10 17:09:09
707311;0;1271823;44179354c798205a;32.66;47;962;3;3;4;0;0.01;0;0;68;2023-08-11 0:07:19;13;4;0;0;0;0;13;pm2_5;2023-08-10 17:07:19
707312;0;1271820;4417935aff00388d;32.64;46;957;3;3;5;0;0.01;0;0;58;2023-08-11 0:06:14;13;5;0;0;0;0;13;pm2_5;2023-08-10 17:06:14
707313;0;1271828;44179354c7782e90;33.62;48;961;3;4;4;0;0.01;0;0;81;2023-08-11 0:09:32;17;4;0;0;0;0;17;pm2_5;2023-08-10 17:09:32
707314;0;1271821;4417935b01081c59;32.59;50;962;3;4;4;0;0.01;0;0;56;2023-08-11 0:06:19;17;4;0;0;0;0;17;pm2_5;2023-08-10 17:06:19
707315;0;1271825;4417935b00b83a53;34.83;46;961;14;7;19;9.6;0.01;0;0;70;2023-08-11 0:08:38;29;18;500;0;0;0;500;so2;2023-08-10 17:08:38
707316;0;1271826;4417935af40cae86;33.03;44;982;11;10;15;0;0.04;0;0;63;2023-08-11 0:09:01;42;14;0;0;0;0;42;pm2_5;2023-08-10 17:09:01
707317;0;1271824;4417935af5e4505d;34.57;46;977;9;7;12;0;0.01;0;0;67;2023-08-11 0:07:44;29;11;0;0;0;0;29;pm2_5;2023-08-10 17:07:44
707318;0;1271819;4417935af3d82f50;34.22;45;981;10;9;13;0;0.02;0;0;62;2023-08-11 0:05:24;38;12;0;0;0;0;38;pm2_5;2023-08-10 17:05:24
707319;0;1271842;4417935af3905f62;32.34;48;960;3;4;5;0;0.04;0;0;64;2023-08-11 0:17:25;17;5;0;0;0;0;17;pm2_5;2023-08-10 17:17:25
707320;0;1271848;44179354c7c83489;31.85;50;955;3;4;4;0;0.01;0;0;62;2023-08-11 0:19:58;17;4;0;0;0;0;17;pm2_5;2023-08-10 17:19:58
707321;0;1271844;44179354c798205a;32.66;49;961;0;1;1;0;0.01;0;0;68;2023-08-11 0:17:40;4;1;0;0;0;0;4;pm2_5;2023-08-10 17:17:40
707322;0;1271841;4417935aff00388d;32.55;50;957;6;5;8;0;0.01;0;0;55;2023-08-11 0:16:25;21;7;0;0;0;0;21;pm2_5;2023-08-10 17:16:25
707323;0;1271847;44179354c7782e90;32.78;48;960;3;3;5;0;0.01;0;0;67;2023-08-11 0:19:50;13;5;0;0;0;0;13;pm2_5;2023-08-10 17:19:50
707324;0;1271840;4417935b01081c59;32.5;50;962;2;3;3;0;0.01;0;0;56;2023-08-11 0:15:58;13;3;0;0;0;0;13;pm2_5;2023-08-10 17:15:58
707325;0;1271845;4417935b00b83a53;33.96;48;958;10;7;13;9.7;0.01;0;0;63;2023-08-11 0:18:10;29;12;500;0;0;0;500;so2;2023-08-10 17:18:10
707326;0;1271846;4417935af40cae86;33.57;45;982;10;9;14;0;0.01;0;0;61;2023-08-11 0:19:18;38;13;0;0;0;0;38;pm2_5;2023-08-10 17:19:18
707327;0;1271843;4417935af5e4505d;34.08;46;976;3;4;5;0;0.01;0;0;69;2023-08-11 0:17:29;17;5;0;0;0;0;17;pm2_5;2023-08-10 17:17:29
707328;0;1271839;4417935af3d82f50;34.04;45;981;33;30;40;0;0.04;0;0;67;2023-08-11 0:15:27;89;37;0;0;0;0;89;pm2_5;2023-08-10 17:15:27
707329;0;1271863;4417935af3905f62;32.62;49;961;3;4;5;0;0.02;0;0;67;2023-08-11 0:27:45;17;5;0;0;0;0;17;pm2_5;2023-08-10 17:27:45
707330;0;1271859;44179354c7c83489;31.85;52;955;1;1;2;0;0.01;0;0;57;2023-08-11 0:25:14;4;2;0;0;0;0;4;pm2_5;2023-08-10 17:25:14
707331;0;1271864;44179354c798205a;32.98;48;961;3;4;5;0;0.01;0;0;81;2023-08-11 0:27:51;17;5;0;0;0;0;17;pm2_5;2023-08-10 17:27:51
707332;0;1271861;4417935aff00388d;32.27;50;956;16;10;21;0;0.01;0;0;58;2023-08-11 0:26:32;42;19;0;0;0;0;42;pm2_5;2023-08-10 17:26:32
707333;0;1271867;44179354c7782e90;32.41;50;959;1;2;2;0;0.01;0;0;62;2023-08-11 0:29:55;8;2;0;0;0;0;8;pm2_5;2023-08-10 17:29:55
707334;0;1271860;4417935b01081c59;32.3;49;960;3;3;5;0;0.01;0;0;56;2023-08-11 0:25:33;13;5;0;0;0;0;13;pm2_5;2023-08-10 17:25:33
707335;0;1271865;4417935b00b83a53;33.52;49;957;5;5;7;9.7;0.01;0;0;74;2023-08-11 0:28:17;21;6;500;0;0;0;500;so2;2023-08-10 17:28:17
707336;0;1271866;4417935af40cae86;33.09;44;982;12;17;27;0;0.01;0;0;61;2023-08-11 0:29:01;61;25;0;0;0;0;61;pm2_5;2023-08-10 17:29:01
707337;0;1271862;4417935af5e4505d;33.69;48;976;8;8;11;0;0.01;0;0;62;2023-08-11 0:27:42;33;10;0;0;0;0;33;pm2_5;2023-08-10 17:27:42
707338;0;1271858;4417935af3d82f50;33.75;47;980;10;10;14;0;0.06;0;0;59;2023-08-11 0:25:09;42;13;0;0;0;0;42;pm2_5;2023-08-10 17:25:09
707339;0;1271883;4417935af3905f62;32.25;52;959;3;3;4;0;0.03;0;0;64;2023-08-11 0:37:53;13;4;0;0;0;0;13;pm2_5;2023-08-10 17:37:53
707340;0;1271878;44179354c7c83489;31.87;51;955;1;2;2;0;0.01;0;0;74;2023-08-11 0:34:59;8;2;0;0;0;0;8;pm2_5;2023-08-10 17:34:59
